User:                 cchurko3  Version: NPSS_1.6.5 - Rev: ->Date:           Time: 08:58:34

   Case  Limit_Flag         Day  Mach       Alt         Tds         Tt1         Tt2         Tt3         Tt4          Tt5         Tt9         Pt1         Pt2         Pt3         Pt4          Pt5         Pt9        W1        Fn        Fg        Fr    PercFn     WFuel      TSFC       CmpH_Nc             N       HPX 
    104         TT4         STD  0.40    5000.0       0.000     500.839     516.866     698.271    4045.016     3951.347    3951.347      12.228      12.990      34.421      32.373       28.459      28.459    2.6873     263.9     300.6      36.7       0.0     615.4   2.33158   5.7750E+004   5.7650E+004       0.0 
    105         TT4         STD  0.40    5000.0       0.000     500.839     516.866     715.529    3972.073     3862.925    3862.925      12.228      12.990      35.896      33.761       28.973      28.973    2.7146     260.6     297.6      37.0       0.0     594.4   2.28090   6.0500E+004   6.0395E+004       0.0 
    106         TT4         STD  0.50    5000.0       0.000     500.839     525.882     636.538    4273.891     4227.525    4227.525      12.228      13.810      26.483      24.907       23.447      23.447    2.2754     215.6     254.4      38.8       0.0     602.6   2.79442   4.4000E+004   4.4305E+004       0.0 
    107         TT4         STD  0.50    5000.0       0.000     500.839     525.882     649.792    4222.961     4168.970    4168.970      12.228      13.810      28.373      26.684       24.853      24.853    2.4074     231.3     272.4      41.1       0.0     618.9   2.67539   4.6750E+004   4.7074E+004       0.0 
    108         TT4         STD  0.50    5000.0       0.000     500.839     525.882     663.717    4169.925     4107.449    4107.449      12.228      13.810      30.387      28.579       26.298      26.298    2.5406     246.6     290.0      43.3       0.0     633.5   2.56858   4.9500E+004   4.9843E+004       0.0 
    109         TT4         STD  0.50    5000.0       0.000     500.839     525.882     678.409    4128.195     4055.913    4055.913      12.228      13.810      32.492      30.559       27.727      27.727    2.6631     260.4     305.8      45.4       0.0     645.2   2.47811   5.2250E+004   5.2612E+004       0.0 
    110         TT4         STD  0.50    5000.0       0.000     500.839     525.882     693.943    4096.670     4013.617    4013.617      12.228      13.810      34.613      32.554       29.093      29.093    2.7705     272.3     319.5      47.2       0.0     654.4   2.40318   5.5000E+004   5.5381E+004       0.0 
    111         TT4         STD  0.50    5000.0       0.000     500.839     525.882     710.600    4040.051     3943.426    3943.426      12.228      13.810      36.595      34.418       30.129      30.129    2.8405     276.1     324.6      48.4       0.0     645.7   2.33846   5.7750E+004   5.8150E+004       0.0 
    112         TT4         STD  0.50    5000.0       0.000     500.839     525.882     728.185    3953.942     3840.640    3840.640      12.228      13.810      38.164      35.893       30.602      30.602    2.8643     270.6     319.5      48.8       0.0     618.6   2.28585   6.0500E+004   6.0919E+004       0.0 
    113         TT4         STD  0.60    5000.0       0.000     500.839     536.901     649.762    4259.759     4211.650    4211.650      12.228      14.860      28.484      26.789       25.153      25.153    2.4450     231.7     281.7      50.0       0.0     640.0   2.76239   4.4000E+004   4.4767E+004       0.0 
    114         TT4         STD  0.60    5000.0       0.000     500.839     536.901     663.328    4213.922     4157.983    4157.983      12.228      14.860      30.515      28.699       26.658      26.658    2.5852     248.2     301.1      52.9       0.0     658.6   2.65301   4.6750E+004   4.7565E+004       0.0 
    115         TT4         STD  0.60    5000.0       0.000     500.839     536.901     677.604    4160.580     4095.857    4095.857      12.228      14.860      32.682      30.737       28.192      28.192    2.7247     263.7     319.4      55.8       0.0     673.2   2.55332   4.9500E+004   5.0362E+004       0.0 
    116         TT4         STD  0.60    5000.0       0.000     500.839     536.901     692.692    4130.034     4055.357    4055.357      12.228      14.860      34.950      32.870       29.734      29.734    2.8511     278.2     336.6      58.3       0.0     687.4   2.47047   5.2250E+004   5.3160E+004       0.0 
    117         TT4         STD  0.60    5000.0       0.000     500.839     536.901     708.648    4095.015     4008.974    4008.974      12.228      14.860      37.237      35.021       31.170      31.170    2.9619     289.7     350.3      60.6       0.0     694.8   2.39880   5.5000E+004   5.5958E+004       0.0 
    118         TT4         STD  0.60    5000.0       0.000     500.839     536.901     725.446    4034.213     3934.093    3934.093      12.228      14.860      39.377      37.034       32.258      32.258    3.0348     292.9     355.0      62.1       0.0     684.0   2.33521   5.7750E+004   5.8756E+004       0.0 
    119         TT4         STD  0.60    5000.0       0.000     500.839     536.901     743.341    3923.186     3804.449    3804.449      12.228      14.860      41.065      38.622       32.631      32.631    3.0509     283.4     345.8      62.4       0.0     645.5   2.27790   6.0500E+004   6.1554E+004       0.0 
    120         TT4         STD  0.70    5000.0       0.000     500.839     549.923     665.390    4248.020     4197.896    4197.896      12.228      16.168      30.976      29.133       27.275      27.275    2.6543     252.3     315.7      63.4       0.0     687.1   2.72267   4.4000E+004   4.5306E+004       0.0 
    121         TT4         STD  0.70    5000.0       0.000     500.839     549.923     679.345    4209.755     4151.693    4151.693      12.228      16.168      33.184      31.210       28.912      28.912    2.8040     270.2     337.2      66.9       0.0     709.0   2.62386   4.6750E+004   4.8138E+004       0.0 
    122         TT4         STD  0.70    5000.0       0.000     500.839     549.923     694.068    4160.049     4092.869    4092.869      12.228      16.168      35.542      33.427       30.563      30.563    2.9498     286.0     356.5      70.4       0.0     724.3   2.53239   4.9500E+004   5.0970E+004       0.0 
    123         TT4         STD  0.70    5000.0       0.000     500.839     549.923     709.561    4133.308     4055.845    4055.845      12.228      16.168      38.008      35.747       32.225      32.225    3.0834     301.2     374.8      73.6       0.0     739.6   2.45599   5.2250E+004   5.3801E+004       0.0 
    124         TT4         STD  0.70    5000.0       0.000     500.839     549.923     725.617    4092.277     4002.828    4002.828      12.228      16.168      40.505      38.095       33.746      33.746    3.1971     311.4     387.8      76.3       0.0     743.9   2.38860   5.5000E+004   5.6633E+004       0.0 
    125         TT4         STD  0.70    5000.0       0.000     500.839     549.923     742.746    4026.005     3921.776    3921.776      12.228      16.168      42.844      40.295       34.891      34.891    3.2747     313.8     392.0      78.2       0.0     730.3   2.32726   5.7750E+004   5.9464E+004       0.0 
    126         TT4         STD  0.70    5000.0       0.000     500.839     549.923     761.207    3859.271     3732.511    3732.511      12.228      16.168      44.680      42.021       35.006      35.006    3.2781     296.3     374.6      78.3       0.0     668.3   2.25527   6.0500E+004   6.2296E+004       0.0 
    127         TT4         STD  0.80    5000.0       0.000     500.839     564.949     683.448    4245.284     4193.075    4193.075      12.228      17.767      34.015      31.992       29.874      29.874    2.9051     278.3     357.6      79.3       0.0     746.4   2.68163   4.4000E+004   4.5921E+004       0.0 
    128         TT4         STD  0.80    5000.0       0.000     500.839     564.949     697.861    4209.147     4148.724    4148.724      12.228      17.767      36.445      34.277       31.661      31.661    3.0671     297.3     381.0      83.7       0.0     770.5   2.59201   4.6750E+004   4.8791E+004       0.0 
    129         TT4         STD  0.80    5000.0       0.000     500.839     564.949     712.888    4164.560     4094.646    4094.646      12.228      17.767      39.040      36.717       33.459      33.459    3.2202     313.3     401.2      87.9       0.0     786.5   2.51010   4.9500E+004   5.1661E+004       0.0 
    130         TT4         STD  0.80    5000.0       0.000     500.839     564.949     728.497    4136.705     4056.222    4056.222      12.228      17.767      41.747      39.263       35.264      35.264    3.3651     328.8     420.6      91.8       0.0     802.5   2.44102   5.2250E+004   5.4531E+004       0.0 
    131         TT4         STD  0.80    5000.0       0.000     500.839     564.949     745.019    4087.152     3993.671    3993.671      12.228      17.767      44.502      41.854       36.867      36.867    3.4811     337.4     432.4      95.0       0.0     801.6   2.37583   5.5000E+004   5.7401E+004       0.0 
    132         TT4         STD  0.80    5000.0       0.000     500.839     564.949     762.615    4013.530     3904.388    3904.388      12.228      17.767      47.080      44.278       38.066      38.066    3.5634     338.6     435.9      97.2       0.0     783.9   2.31506   5.7750E+004   6.0271E+004       0.0 
    133         TT4         STD  0.80    5000.0       0.000     500.839     564.949     781.770    3738.147     3598.329    3598.329      12.228      17.767      49.099      46.177       37.554      37.554    3.5460     306.5     403.3      96.8       0.0     678.1   2.21191   6.0500E+004   6.3141E+004       0.0 
    134        NONE         STD  0.90    5000.0       0.000     500.839     581.978     702.692    1967.430     1867.122    1867.122      12.228      19.695      35.789      33.659       26.559      26.559    3.6039     130.4     241.1     110.6       0.0     245.6   1.88311   4.4000E+004   4.6608E+004       0.0 
    135        NONE         STD  0.90    5000.0       0.000     500.839     581.978     717.319    2228.602     2119.846    2119.846      12.228      19.695      39.193      36.861       29.189      29.189    3.7006     165.4     279.0     113.6       0.0     309.4   1.87043   4.6750E+004   4.9521E+004       0.0 
    136        NONE         STD  0.90    5000.0       0.000     500.839     581.978     732.678    2499.546     2382.496    2382.496      12.228      19.695      42.571      40.038       31.799      31.799    3.7786     200.3     316.3     116.0       0.0     379.4   1.89454   4.9500E+004   5.2434E+004       0.0 
    137         TT4         STD  0.90    5000.0       0.000     500.839     581.978     748.969    2782.671     2657.475    2657.475      12.228      19.695      45.973      43.238       34.426      34.426    3.8455     235.3     353.3     118.0       0.0     457.2   1.94305   5.2250E+004   5.5347E+004       0.0 
    138         TT4         STD  0.90    5000.0       0.000     500.839     581.978     766.335    3084.441     2951.497    2951.497      12.228      19.695      49.239      46.310       36.979      36.979    3.8907     270.0     389.4     119.4       0.0     543.4   2.01249   5.5000E+004   5.8260E+004       0.0 
    139         TT4         STD  0.90    5000.0       0.000     500.839     581.978     784.994    3424.582     3285.387    3285.387      12.228      19.695      52.186      49.081       39.423      39.423    3.9041     305.2     425.0     119.8       0.0     643.0   2.10707   5.7750E+004   6.1173E+004       0.0 
    140         TT4         STD  0.90    5000.0       0.000     500.839     581.978     804.872    3790.365     3647.544    3647.544      12.228      19.695      54.425      51.187       41.547      41.547    3.8676     338.9     457.6     118.7       0.0     752.6   2.22076   6.0499E+004   6.4085E+004       0.0 



