User:                 cchurko3  Version: NPSS_1.6.5 - Rev: ->Date:           Time: 08:58:34

   Case  Limit_Flag         Day  Mach       Alt         Tds         Tt1         Tt2         Tt3         Tt4          Tt5         Tt9         Pt1         Pt2         Pt3         Pt4          Pt5         Pt9        W1        Fn        Fg        Fr    PercFn     WFuel      TSFC       CmpH_Nc             N       HPX 
     25        NONE         STD  0.30       0.0       0.000     518.670     527.997     679.912    2433.935     2315.450    2315.450      14.696      14.871      34.720      32.655       25.745      25.745    3.0447     165.7     197.4      31.7       0.0     300.8   1.81535   5.2250E+004   5.2718E+004       0.0 
     26         TT4         STD  0.30       0.0       0.000     518.670     527.997     695.870    2723.848     2597.609    2597.609      14.696      14.871      37.173      34.961       27.686      27.686    3.0870     193.7     225.8      32.1       0.0     362.9   1.87390   5.5000E+004   5.5492E+004       0.0 
     27         TT4         STD  0.30       0.0       0.000     518.670     527.997     713.017    3021.570     2887.673    2887.673      14.696      14.871      39.400      37.056       29.443      29.443    3.1025     219.3     251.6      32.3       0.0     427.7   1.95080   5.7750E+004   5.8267E+004       0.0 
     28         TT4         STD  0.30       0.0       0.000     518.670     527.997     731.145    3341.774     3201.393    3201.393      14.696      14.871      41.094      38.649       30.868      30.868    3.0736     240.9     272.9      32.0       0.0     495.2   2.05546   6.0500E+004   6.1042E+004       0.0 
     29        NONE         STD  0.40       0.0       0.000     518.670     535.254     646.520    1538.222     1440.129    1440.129      14.696      15.605      29.114      27.382       20.671      20.671    2.9019      75.0     115.3      40.3       0.0     133.2   1.77705   4.4000E+004   4.4698E+004       0.0 
     30        NONE         STD  0.40       0.0       0.000     518.670     535.254     659.906    1882.179     1777.717    1777.717      14.696      15.605      31.295      29.433       22.799      22.799    3.0240     109.5     151.4      42.0       0.0     197.1   1.80032   4.6750E+004   4.7491E+004       0.0 
     31        NONE         STD  0.40       0.0       0.000     518.670     535.254     674.159    2198.720     2087.049    2087.049      14.696      15.605      33.789      31.779       24.951      24.951    3.1122     142.4     185.6      43.2       0.0     261.1   1.83446   4.9500E+004   5.0285E+004       0.0 
     32        NONE         STD  0.40       0.0       0.000     518.670     535.254     689.360    2489.522     2370.113    2370.113      14.696      15.605      36.430      34.262       27.069      27.069    3.1759     172.9     217.0      44.1       0.0     323.9   1.87281   5.2250E+004   5.3079E+004       0.0 
     33         TT4         STD  0.40       0.0       0.000     518.670     535.254     705.600    2777.912     2650.626    2650.626      14.696      15.605      39.009      36.688       29.091      29.091    3.2183     201.9     246.5      44.7       0.0     388.8   1.92627   5.5000E+004   5.5872E+004       0.0 
     34         TT4         STD  0.40       0.0       0.000     518.670     535.254     722.836    3077.573     2942.753    2942.753      14.696      15.605      41.347      38.887       30.940      30.940    3.2334     228.7     273.5      44.9       0.0     457.4   2.00053   5.7750E+004   5.8666E+004       0.0 
     35         TT4         STD  0.40       0.0       0.000     518.670     535.254     741.130    3416.197     3275.601    3275.601      14.696      15.605      43.124      40.559       32.492      32.492    3.2034     252.7     297.2      44.5       0.0     533.2   2.10966   6.0500E+004   6.1460E+004       0.0 
     36        NONE         STD  0.50       0.0       0.000     518.670     544.583     657.724    1659.339     1561.402    1561.402      14.696      16.585      30.610      28.788       22.102      22.102    3.1000      86.1     139.9      53.8       0.0     161.9   1.87988   4.4000E+004   4.5086E+004       0.0 
     37        NONE         STD  0.50       0.0       0.000     518.670     544.583     671.375    1980.268     1875.344    1875.344      14.696      16.585      33.135      31.163       24.358      24.358    3.2079     120.9     176.6      55.7       0.0     226.2   1.87018   4.6750E+004   4.7904E+004       0.0 
     38        NONE         STD  0.50       0.0       0.000     518.670     544.583     685.986    2270.563     2157.869    2157.869      14.696      16.585      35.875      33.740       26.587      26.587    3.2851     153.2     210.2      57.0       0.0     288.7   1.88375   4.9500E+004   5.0721E+004       0.0 
     39        NONE         STD  0.50       0.0       0.000     518.670     544.583     701.540    2552.060     2431.317    2431.317      14.696      16.585      38.714      36.410       28.813      28.813    3.3477     184.7     242.7      58.1       0.0     353.3   1.91335   5.2250E+004   5.3539E+004       0.0 
     40         TT4         STD  0.50       0.0       0.000     518.670     544.583     717.921    2843.191     2714.644    2714.644      14.696      16.585      41.458      38.992       30.965      30.965    3.3912     215.2     274.0      58.8       0.0     423.1   1.96600   5.5000E+004   5.6357E+004       0.0 
     41         TT4         STD  0.50       0.0       0.000     518.670     544.583     735.328    3153.265     3017.479    3017.479      14.696      16.585      43.943      41.329       32.956      32.956    3.4067     244.1     303.3      59.1       0.0     498.9   2.04335   5.7750E+004   5.9175E+004       0.0 
     42         TT4         STD  0.50       0.0       0.000     518.670     544.583     753.945    3508.135     3367.454    3367.454      14.696      16.585      45.832      43.105       34.669      34.669    3.3739     271.1     329.6      58.5       0.0     584.2   2.15501   6.0500E+004   6.1993E+004       0.0 
     43        NONE         STD  0.60       0.0       0.000     518.670     555.986     671.473    1776.021     1677.698    1677.698      14.696      17.837      32.620      30.679       23.858      23.858    3.3229      99.8     169.0      69.2       0.0     193.8   1.94206   4.4000E+004   4.5555E+004       0.0 
     44        NONE         STD  0.60       0.0       0.000     518.670     555.986     685.453    2065.513     1959.483    1959.483      14.696      17.837      35.561      33.445       26.283      26.283    3.4241     134.7     206.0      71.3       0.0     256.9   1.90650   4.6750E+004   4.8403E+004       0.0 
     45        NONE         STD  0.60       0.0       0.000     518.670     555.986     700.482    2340.508     2226.287    2226.287      14.696      17.837      38.571      36.276       28.648      28.648    3.4984     167.8     240.6      72.8       0.0     320.6   1.91069   4.9500E+004   5.1250E+004       0.0 
     46        NONE         STD  0.60       0.0       0.000     518.670     555.986     716.212    2625.214     2502.962    2502.962      14.696      17.837      41.633      39.156       31.045      31.045    3.5640     201.4     275.6      74.2       0.0     391.1   1.94194   5.2250E+004   5.4097E+004       0.0 
     47         TT4         STD  0.60       0.0       0.000     518.670     555.986     732.770    2922.973     2793.082    2793.082      14.696      17.837      44.587      41.934       33.373      33.373    3.6093     234.2     309.4      75.1       0.0     468.0   1.99826   5.5000E+004   5.6944E+004       0.0 
     48         TT4         STD  0.60       0.0       0.000     518.670     555.986     750.558    3231.408     3094.240    3094.240      14.696      17.837      47.260      44.448       35.500      35.500    3.6234     264.7     340.2      75.4       0.0     549.1   2.07403   5.7750E+004   5.9791E+004       0.0 
     49         TT4         STD  0.60       0.0       0.000     518.670     555.986     769.548    3645.942     3506.729    3506.729      14.696      17.837      49.291      46.358       37.588      37.588    3.5899     299.4     374.2      74.7       0.0     659.8   2.20356   6.0500E+004   6.2639E+004       0.0 
     50        NONE         STD  0.70       0.0       0.000     518.670     569.463     687.679    1872.167     1772.769    1772.769      14.696      19.392      35.314      33.213       26.026      26.026    3.5812     115.5     202.5      87.0       0.0     226.3   1.95846   4.4000E+004   4.6104E+004       0.0 
     51        NONE         STD  0.70       0.0       0.000     518.670     569.463     702.113    2141.818     2034.133    2034.133      14.696      19.392      38.632      36.334       28.637      28.637    3.6803     151.5     240.8      89.4       0.0     290.4   1.91763   4.6750E+004   4.8986E+004       0.0 
     52        NONE         STD  0.70       0.0       0.000     518.670     569.463     717.328    2418.823     2302.916    2302.916      14.696      19.392      41.926      39.431       31.213      31.213    3.7594     187.1     278.4      91.3       0.0     360.4   1.92665   4.9500E+004   5.1867E+004       0.0 
     53         TT4         STD  0.70       0.0       0.000     518.670     569.463     733.257    2707.783     2583.964    2583.964      14.696      19.392      45.263      42.570       33.828      33.828    3.8284     223.3     316.2      93.0       0.0     438.4   1.96345   5.2250E+004   5.4749E+004       0.0 
     54         TT4         STD  0.70       0.0       0.000     518.670     569.463     750.231    3003.047     2871.441    2871.441      14.696      19.392      48.479      45.594       36.337      36.337    3.8745     258.0     352.1      94.1       0.0     521.3   2.02020   5.5000E+004   5.7630E+004       0.0 
     55         TT4         STD  0.70       0.0       0.000     518.670     569.463     768.470    3323.316     3184.750    3184.750      14.696      19.392      51.381      48.324       38.676      38.676    3.8885     291.7     386.2      94.4       0.0     613.0   2.10106   5.7750E+004   6.0512E+004       0.0 
     56         TT4         STD  0.70       0.0       0.000     518.670     569.463     787.922    3753.801     3612.897    3612.897      14.696      19.392      53.588      50.399       40.949      40.949    3.8525     330.9     424.5      93.6       0.0     740.5   2.23774   6.0500E+004   6.3393E+004       0.0 
     57        NONE         STD  0.80       0.0       0.000     518.670     585.012     706.330    1952.870     1851.825    1851.825      14.696      21.287      38.724      36.420       28.651      28.651    3.8816     133.7     241.4     107.7       0.0     260.4   1.94796   4.4000E+004   4.6729E+004       0.0 
     58        NONE         STD  0.80       0.0       0.000     518.670     585.012     720.941    2223.625     2114.284    2114.284      14.696      21.287      42.389      39.867       31.520      31.520    3.9872     172.6     283.3     110.7       0.0     331.4   1.91977   4.6750E+004   4.9650E+004       0.0 
     59        NONE         STD  0.80       0.0       0.000     518.670     585.012     736.386    2503.872     2386.334    2386.334      14.696      21.287      46.021      43.283       34.355      34.355    4.0717     211.2     324.3     113.0       0.0     409.3   1.93752   4.9500E+004   5.2570E+004       0.0 
     60         TT4         STD  0.80       0.0       0.000     518.670     585.012     752.767    2790.556     2664.865    2664.865      14.696      21.287      49.693      46.736       37.197      37.197    4.1437     249.8     364.8     115.0       0.0     494.1   1.97793   5.2250E+004   5.5491E+004       0.0 
     61         TT4         STD  0.80       0.0       0.000     518.670     585.012     770.235    3092.690     2959.210    2959.210      14.696      21.287      53.221      50.054       39.951      39.951    4.1920     287.6     404.0     116.4       0.0     587.1   2.04114   5.5000E+004   5.8412E+004       0.0 
     62         TT4         STD  0.80       0.0       0.000     518.670     585.012     788.998    3436.137     3296.450    3296.450      14.696      21.287      56.403      53.047       42.600      42.600    4.2066     326.0     442.8     116.8       0.0     695.7   2.13390   5.7750E+004   6.1332E+004       0.0 
     63         TT4         STD  0.80       0.0       0.000     518.670     585.012     808.966    3771.486     3626.760    3626.760      14.696      21.287      58.821      55.321       44.743      44.743    4.1671     359.1     474.8     115.7       0.0     802.4   2.23442   6.0497E+004   6.4250E+004       0.0 
     64        NONE         STD  0.90       0.0       0.000     518.670     602.625     727.026    2036.711     1934.052    1934.052      14.696      23.574      42.859      40.309       31.838      31.838    4.2374     156.1     288.4     132.3       0.0     301.5   1.93162   4.4000E+004   4.7428E+004       0.0 
     65        NONE         STD  0.90       0.0       0.000     518.670     602.625     741.921    2308.797     2197.778    2197.778      14.696      23.574      46.939      44.147       35.015      35.015    4.3508     198.3     334.2     135.9       0.0     380.6   1.91903   4.6750E+004   5.0392E+004       0.0 
     66        NONE         STD  0.90       0.0       0.000     518.670     602.625     757.856    2588.278     2468.792    2468.792      14.696      23.574      50.978      47.945       38.128      38.128    4.4408     240.0     378.6     138.7       0.0     466.6   1.94431   4.9500E+004   5.3356E+004       0.0 
     67         TT4         STD  0.90       0.0       0.000     518.670     602.625     774.772    2881.159     2753.427    2753.427      14.696      23.574      55.043      51.768       41.267      41.267    4.5175     281.9     422.9     141.1       0.0     562.3   1.99484   5.2250E+004   5.6320E+004       0.0 
     68         TT4         STD  0.90       0.0       0.000     518.670     602.625     792.823    3196.895     3061.534    3061.534      14.696      23.574      58.945      55.438       44.340      44.340    4.5688     323.9     466.6     142.7       0.0     669.9   2.06820   5.5000E+004   5.9284E+004       0.0 
     69         TT4         STD  0.90       0.0       0.000     518.670     602.625     812.196    3582.996     3443.214    3443.214      14.696      23.574      62.464      58.747       47.473      47.473    4.5846     370.7     513.8     143.2       0.0     807.1   2.17739   5.7750E+004   6.2249E+004       0.0 
     70         TT4         STD  0.90       0.0       0.000     518.670     602.625     832.533    3796.742     3647.697    3647.697      14.696      23.574      65.143      61.267       49.309      49.309    4.5626     394.9     537.4     142.5       0.0     882.6   2.23477   6.0497E+004   6.5210E+004       0.0 
     71         TT4         STD  0.00    5000.0       0.000     500.839     500.839     606.468    4301.652     4258.595    4258.595      12.228      11.616      22.295      20.969       19.836      19.836    1.9193     196.8     196.8       0.0       0.0     521.4   2.64880   4.4000E+004   4.3237E+004       0.0 
     72         TT4         STD  0.00    5000.0       0.000     500.839     500.839     619.100    4256.083     4206.085    4206.085      12.228      11.616      23.884      22.463       21.048      21.048    2.0317     212.5     212.5       0.0       0.0     536.8   2.52604   4.6750E+004   4.5939E+004       0.0 
